"dataset","region","estimand","scale","variant","method","metric","observed","bootstrap_mean","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes","Mean-ISI","precision",0.338545738858483,0.338589948099785,0.322240581586511,0.3553351658296,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes","Mean-ISI","f1",0.505841121495327,0.5058294309306,0.487415960484722,0.524350245364762,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes","LogISI/newBD","precision",0.874172185430464,0.875397279733073,0.775877281947262,0.97140756302521,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes","LogISI/newBD","recall",0.304849884526559,0.306975293152296,0.245742092457421,0.366025717703349,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes","LogISI/newBD","f1",0.452054794520548,0.453322908206338,0.383946999013582,0.518159006576289,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default","Mean-ISI","precision",0.327399380804954,0.327498915550905,0.30812192112302,0.347518123001869,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default","Mean-ISI","f1",0.493294460641399,0.493319517130304,0.471090524711879,0.515789905177194,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default","LogISI/newBD","precision",0.946808510638298,0.9472825406605,0.881201426594272,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default","LogISI/newBD","recall",0.210401891252955,0.21146615393498,0.13289835716581,0.280282465547373,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default","LogISI/newBD","f1",0.344294003868472,0.344259052145836,0.232444758417193,0.431422024172253,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes","Mean-ISI","precision",0.336783439490446,0.336731711430392,0.316957301996003,0.356129000342275,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes","Mean-ISI","f1",0.503871351995235,0.5037322557641,0.481347878956182,0.525214046822742,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes","LogISI/newBD","precision",0.900662251655629,0.902816455927825,0.826929012345679,0.972413793103448,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes","LogISI/newBD","recall",0.321513002364066,0.321972517523102,0.270063925637929,0.373234293400855,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes","LogISI/newBD","f1",0.473867595818815,0.473900852747922,0.415550255345418,0.530193481584283,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default","Mean-ISI","precision",0.329277566539924,0.329123092167932,0.312221871903432,0.345227292170094,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default","Mean-ISI","f1",0.495423340961098,0.495190541307537,0.475867500905323,0.513262396810625,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default","LogISI/newBD","precision",0.192444444444444,0.192396592593415,0.182628620609977,0.205332312270958,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default","LogISI/newBD","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default","LogISI/newBD","f1",0.322773015281401,0.322668468511689,0.308852022382294,0.340706558021711,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes","Mean-ISI","precision",0.338545738858483,0.338825887776102,0.322358346094946,0.355168236199827,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes","Mean-ISI","f1",0.505841121495327,0.506095148163195,0.487550665894615,0.524168478373979,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes","LogISI/newBD","precision",0.192102928127773,0.192186071838876,0.182550708527404,0.203586735598078,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes","LogISI/newBD","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes","LogISI/newBD","f1",0.322292519538519,0.322374895902752,0.308740600760748,0.338300061815934,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default","Mean-ISI","precision",0.327399380804954,0.327246616826261,0.304315735773294,0.346849716181458,1000,"Template_ID"
