"dataset","region","estimand","scale","method","variant","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.25,23,23,1067,441,778,1845,1508,0.707559681697613,0.578319783197832,0.636444974649568,0.746249316282387,0.0233062330623306,0.200928381962865
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.5,23,23,855,653,990,1845,1508,0.566976127320955,0.463414634146341,0.509991052788548,0.841888772642747,0.0233062330623306,0.200928381962865
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.1,23,23,1147,393,698,1845,1540,0.744805194805195,0.621680216802168,0.677695716395864,0.728560471692634,0.024390243902439,0.196753246753247
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.25,23,23,1097,443,748,1845,1540,0.712337662337662,0.594579945799458,0.648153618906942,0.75310298345876,0.024390243902439,0.196753246753247
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.5,23,23,886,654,959,1845,1540,0.575324675324675,0.480216802168022,0.523485967503693,0.846367457422365,0.024390243902439,0.196753246753247
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","article_default",0.1,23,23,1340,282,505,1845,1622,0.826140567200986,0.726287262872629,0.77300259590424,0.876543424386716,0.0249322493224932,0.0271270036991369
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","article_default",0.25,23,23,1332,290,513,1845,1622,0.821208384710234,0.721951219512195,0.76838765503317,0.88071078632512,0.0249322493224932,0.0271270036991369
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","article_default",0.5,23,23,1254,368,591,1845,1622,0.773119605425401,0.679674796747967,0.723391981540237,0.912674183114146,0.0249322493224932,0.0271270036991369
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.1,23,23,929,172,916,1845,1101,0.84377838328792,0.503523035230352,0.630685675492193,0.896926989026031,0.00758807588075881,0.0399636693914623
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.25,23,23,924,177,921,1845,1101,0.839237057220708,0.500813008130081,0.627291242362525,0.900896315970225,0.00758807588075881,0.0399636693914623
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.5,23,23,882,219,963,1845,1101,0.801089918256131,0.478048780487805,0.59877800407332,0.925351578562138,0.00758807588075881,0.0399636693914623
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","article_default",0.1,15,15,19,0,52,71,19,1,0.267605633802817,0.422222222222222,0.700501253132832,0,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","article_default",0.25,15,15,19,0,52,71,19,1,0.267605633802817,0.422222222222222,0.700501253132832,0,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","article_default",0.5,15,15,18,1,53,71,19,0.947368421052632,0.253521126760563,0.4,0.714726631393298,0,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","harmonized_4_spikes",0.1,15,15,33,5,38,71,38,0.868421052631579,0.464788732394366,0.605504587155963,0.61446608946609,0.028169014084507,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","harmonized_4_spikes",0.25,15,15,33,5,38,71,38,0.868421052631579,0.464788732394366,0.605504587155963,0.61446608946609,0.028169014084507,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","harmonized_4_spikes",0.5,15,15,24,14,47,71,38,0.631578947368421,0.338028169014085,0.440366972477064,0.69021164021164,0.028169014084507,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",0.1,15,15,56,49,15,71,105,0.533333333333333,0.788732394366197,0.636363636363636,0.463996436273698,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",0.25,15,15,47,58,24,71,105,0.447619047619048,0.661971830985915,0.534090909090909,0.517891466854172,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",0.5,15,15,27,78,44,71,105,0.257142857142857,0.380281690140845,0.306818181818182,0.653797539908651,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","harmonized_4_spikes",0.1,15,15,56,31,15,71,87,0.64367816091954,0.788732394366197,0.708860759493671,0.463996436273698,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","harmonized_4_spikes",0.25,15,15,47,40,24,71,87,0.540229885057471,0.661971830985915,0.59493670886076,0.517891466854172,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","harmonized_4_spikes",0.5,15,15,27,60,44,71,87,0.310344827586207,0.380281690140845,0.341772151898734,0.653797539908651,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",0.1,15,15,47,35,24,71,82,0.573170731707317,0.661971830985915,0.61437908496732,0.248134184239686,0,0.195121951219512
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",0.25,15,15,17,65,54,71,82,0.207317073170732,0.23943661971831,0.222222222222222,0.38516951731196,0,0.195121951219512
