"dataset","region","estimand","scale","method","configuration","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",0.1,15,15,56,49,15,71,105,0.533333333333333,0.788732394366197,0.636363636363636,0.463996436273698,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",0.25,15,15,47,58,24,71,105,0.447619047619048,0.661971830985915,0.534090909090909,0.517891466854172,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",0.5,15,15,27,78,44,71,105,0.257142857142857,0.380281690140845,0.306818181818182,0.653797539908651,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD","current_automatic",0.1,15,15,71,94,0,71,165,0.43030303030303,1,0.601694915254237,0.807193158953722,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD","current_automatic",0.25,15,15,71,94,0,71,165,0.43030303030303,1,0.601694915254237,0.807193158953722,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD","current_automatic",0.5,15,15,65,100,6,71,165,0.393939393939394,0.915492957746479,0.550847457627119,0.844188034188034,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",0.1,15,15,47,35,24,71,82,0.573170731707317,0.661971830985915,0.61437908496732,0.248134184239687,0,0.195121951219512
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",0.25,15,15,17,65,54,71,82,0.207317073170732,0.23943661971831,0.222222222222222,0.38516951731196,0,0.195121951219512
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",0.5,15,15,4,78,67,71,82,0.048780487804878,0.0563380281690141,0.0522875816993464,0.618181818181818,0,0.195121951219512
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",0.1,15,15,56,49,15,71,105,0.533333333333333,0.788732394366197,0.636363636363636,0.463996436273698,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",0.25,15,15,47,58,24,71,105,0.447619047619048,0.661971830985915,0.534090909090909,0.517891466854172,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",0.5,15,15,27,78,44,71,105,0.257142857142857,0.380281690140845,0.306818181818182,0.653797539908651,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD","current_automatic",0.1,15,15,71,94,0,71,165,0.43030303030303,1,0.601694915254237,0.802721886876817,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD","current_automatic",0.25,15,15,70,95,1,71,165,0.424242424242424,0.985915492957746,0.593220338983051,0.812602040816327,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD","current_automatic",0.5,15,15,65,100,6,71,165,0.393939393939394,0.915492957746479,0.550847457627119,0.844188034188034,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",0.1,15,15,64,33,7,71,97,0.65979381443299,0.901408450704225,0.761904761904762,0.714969051794008,0,0.0309278350515464
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",0.25,15,15,55,42,16,71,97,0.56701030927835,0.774647887323944,0.654761904761905,0.803374479056297,0,0.0309278350515464
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",0.5,15,15,49,48,22,71,97,0.505154639175258,0.690140845070423,0.583333333333333,0.863966192537621,0,0.0309278350515464
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",0.1,15,15,56,49,15,71,105,0.533333333333333,0.788732394366197,0.636363636363636,0.463996436273698,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",0.25,15,15,47,58,24,71,105,0.447619047619048,0.661971830985915,0.534090909090909,0.517891466854172,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",0.5,15,15,27,78,44,71,105,0.257142857142857,0.380281690140845,0.306818181818182,0.653797539908651,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","current_automatic",0.1,15,15,71,94,0,71,165,0.43030303030303,1,0.601694915254237,0.802721886876816,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","current_automatic",0.25,15,15,70,95,1,71,165,0.424242424242424,0.985915492957746,0.593220338983051,0.812602040816327,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","current_automatic",0.5,15,15,65,100,6,71,165,0.393939393939394,0.915492957746479,0.550847457627119,0.844188034188034,0.154929577464789,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",0.1,15,15,18,1,57,75,19,0.947368421052632,0.24,0.382978723404255,0.714726631393298,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",0.25,15,15,18,1,57,75,19,0.947368421052632,0.24,0.382978723404255,0.714726631393298,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",0.5,15,15,18,1,57,75,19,0.947368421052632,0.24,0.382978723404255,0.714726631393298,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",0.1,15,15,58,44,17,75,102,0.568627450980392,0.773333333333333,0.655367231638418,0.447762358495577,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",0.25,15,15,47,55,28,75,102,0.46078431372549,0.626666666666667,0.531073446327684,0.508914510004875,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",0.5,15,15,26,76,49,75,102,0.254901960784314,0.346666666666667,0.293785310734463,0.648240114586269,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","current_automatic",0.1,15,15,75,91,0,75,166,0.451807228915663,1,0.622406639004149,0.805253968253968,0.133333333333333,0
