"dataset","region","estimand","scale","method","iou_threshold","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.1,"precision",0.480211081794195,0.335208641662556,0.683612657074155,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.1,"recall",0.484472049689441,0.407583965940576,0.557718984425962,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.1,"f1",0.482332155477032,0.375645521834049,0.596911612084871,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.25,"precision",0.463500439753738,0.322977678382608,0.660384387076453,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.25,"recall",0.467613132209405,0.393670125531867,0.538594769976724,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.25,"f1",0.465547703180212,0.364377841701698,0.574817635811962,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.5,"precision",0.392260334212841,0.26390167140825,0.565080287056388,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.5,"recall",0.395740905057675,0.323222936000932,0.480376597379489,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI",0.5,"f1",0.393992932862191,0.29683788520902,0.500185170794803,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.1,"precision",0.864473684210526,0.79128664810528,0.922254778247264,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.1,"recall",0.582963620230701,0.508428516008683,0.648567101968193,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.1,"f1",0.696343402225755,0.629087406138941,0.747353846860925,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.25,"precision",0.839473684210526,0.746266275766844,0.908227812456,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.25,"recall",0.566104702750665,0.482959721889235,0.634566359776348,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.25,"f1",0.676205617382088,0.597445505996803,0.738106692931734,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.5,"precision",0.66578947368421,0.515817932260098,0.788027404698305,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.5,"recall",0.448979591836735,0.345045856008794,0.542234295876537,1000,"Group_ID"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD",0.5,"f1",0.536301006889242,0.418216783216783,0.638419125631196,1000,"Group_ID"
